borough,easting,latitude,longtitude,northing,numberrcpoints,objectid,siteid,sitename,taxipublicuses,url,runtime
Westminster,526855.44279711077,51.534358,-0.172449,183299.62634522637,2,136,469,Qpark: St Johns Wood,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,533805.31023341184,51.502605,-0.073581,179944.52068793774,2,137,470,Qpark: Tower Bridge,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,529895.12216801126,51.512371,-0.129522,180929.83209706307,2,138,473,Qpark: Chinatown,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Bexley,547194.29944490525,51.447846,0.116804,174220.33345249825,1,139,486,Shell Blendon,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Barnet,520922.9699553253,51.643213,-0.253818,195267.19087615883,1,140,487,Shell Stirling Corner,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Outside London,505012.11790215544,51.376647,-0.492598,165255.00043468893,1,141,488,Shell Addlestone,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hillingdon,506324.85252915567,51.492358,-0.469875,178155.57428263436,1,142,489,Shell West Drayton,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Outside London,508071.14685540926,51.566773,-0.442182,186471.65280533937,1,143,490,Shell Ickenham,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Outside London,524207.58354473789,51.306275,-0.219513,157855.5845600591,1,144,491,Shell Burgh Heath,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Islington,531227.98590313387,51.550245,-0.108744,185178.60919483332,1,145,492,Shell Holloway,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Outside London,534136.83399816707,51.304183,-0.077145,157873.30674182859,1,146,493,Shell Whyteleafe,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,532175.69855091651,51.371468,-0.102504,165309.4063943139,2,147,770,Qpark: Surrey Street,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Greenwich,542506.81747882045,51.462078,0.049980,175670.85332338535,1,148,1026,Outside 141 - 149 Well Hall Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hillingdon,512109.91687431408,51.558073,-0.384217,185591.30689142982,1,149,1053,Lidl - South Ruislip ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Newham,530016.61796199903,51.6136503,-0.1236064,192203.03418450063,4,150,1134,Olympic Park Copperbox (LLDC),Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Brent,524484.95587622339,51.5465017,-0.2061507,184592.22039097891,1,151,1136,Shell Kilburn High Street,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Islington,531232.80905918404,51.550253,-0.1086741,185179.62413259066,1,152,1137,Shell Holloway High Street ,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Greenwich,540786.44237569685,51.4755422,0.0258094,177121.35537082661,1,153,1138,Shell Shooters Hill Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Ealing,517906.58660078171,51.5045517,-0.3025869,179767.5640773187,1,154,1139,Shell South Ealing Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Islington,532518.77579831751,51.5253163,-0.0911692,182438.10428766685,1,155,1140,Shell Old Street,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Tower Hamlets,534177.69253101584,51.5180181,-0.0675633,181669.50699002889,1,156,1141,Shell Whitechapel Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
