borough,easting,latitude,longtitude,northing,numberrcpoints,objectid,siteid,sitename,taxipublicuses,url,runtime
Waltham Forest,539251.19758481695,51.568116,0.007769,187381.20712562901,1,30,550,Leytonstone Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Redbridge,544970.56057245773,51.575983,0.090659,188417.01308977226,1,31,551,Newbury Park Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Enfield,529401.94324592745,51.647790,-0.131082,195986.29674152471,1,32,553,Oakwood Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hounslow,514573.59088823531,51.481186,-0.351455,177091.63962062064,1,33,554,Osterley Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hillingdon,510248.62467040971,51.560557,-0.410981,185826.90402251692,1,34,556,Ruislip Gardens Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Harrow,514359.25405246066,51.564392,-0.351540,186344.57020874403,1,36,559,South-Harrow Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hillingdon,511067.99625319883,51.556578,-0.399300,185402.06259612483,1,37,560,South-Ruislip Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Barnet,526153.37584870844,51.630770,-0.178721,194010.31665147992,1,38,563,Totteridge & Whetstone Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Redbridge,540669.0525021106,51.575434,0.028554,188234.74042479438,1,39,565,Wanstead Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Brent,519230.77195798641,51.563496,-0.281288,186357.01588249841,1,40,566,Wembley Park Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Redbridge,544784.32258018234,51.586471,0.088452,189578.92265496874,1,41,571,Barkingside Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Enfield,528201.99874520174,51.651884,-0.148260,196411.3089132522,1,42,580,Cockfosters Station Car Park,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hillingdon,509556.39206395508,51.466218,-0.424226,175315.84573859785,1,43,589,Hatton-Cross Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Barnet,523991.85844470962,51.608583,-0.210826,191488.08104221866,1,44,595,Mill Hill East Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Ealing,518802.16874363483,51.517459,-0.289199,181224.5604297407,1,45,598,North-Ealing Station Car Park,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Ealing,516341.39404392458,51.536481,-0.323968,183284.10977238568,1,46,602,Perivale Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Brent,518810.33865303744,51.594685,-0.286181,189817.48716009536,1,47,603,Queensbury Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Redbridge,541881.84413183725,51.576501,0.046105,188387.28004572616,1,48,605,Redbridge Station Car Park,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Outside London,545527.75099899038,51.671755,0.103125,199091.80974431604,1,49,608,Theydon-Bois Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Outside London,509539.66242729046,51.657108,-0.417856,196553.91553544364,1,50,609,Watford Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Barnet,525744.29929351271,51.618187,-0.185134,192599.96485195559,1,51,610,Woodside-Park Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
